,podcast_id,rating,compound_score,compound_score,compound_score,compound_score,neg_score,neg_score,neg_score,neg_score,neu_score,neu_score,neu_score,neu_score,pos_score,pos_score,pos_score,pos_score,sentiment_bool
,count,mean,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,<lambda>
main_category,,,,,,,,,,,,,,,,,,,
comedy,49085,4.388224508505654,-0.9991,1.0,0.5902804156055821,0.8248,0.0,0.967,0.05566914536008964,0.026,0.0,1.0,0.69604282367322,0.701,0.0,1.0,0.24808450646837119,0.236,0.8099826831007436
society-culture,33462,4.020321558783097,-0.9983,0.9998,0.49580633853326156,0.76885,0.0,1.0,0.07535228019843405,0.054,0.0,1.0,0.6852093120554659,0.6964999999999999,0.0,1.0,0.23943819855358317,0.223,0.7733847349231965
education,24709,4.727670079728035,-0.9999,1.0,0.6757300214496742,0.847,0.0,0.939,0.02879469019385649,0.0,0.0,1.0,0.6926240236351127,0.704,0.0,1.0,0.2784603181027156,0.266,0.8596867538143996
news,24493,3.9859551708651453,-0.9972,0.9994,0.4441907034662965,0.6696,0.0,1.0,0.06755828195811048,0.035,0.0,1.0,0.710251990364594,0.724,0.0,1.0,0.22218760462172865,0.2,0.7381292614216307
health-fitness,16251,4.832687219248046,-0.9921,0.9994,0.7605377084487108,0.8974,0.0,1.0,0.03094160359362501,0.0,0.0,1.0,0.7094815088302258,0.72,0.0,0.895,0.259579841240539,0.247,0.9276352224478494
sports,16089,4.63633538442414,-0.9971,0.9988,0.6256807632543975,0.8071,0.0,0.728,0.03476281931754615,0.0,0.096,1.0,0.7257864379389645,0.741,0.0,0.904,0.23944850518988128,0.221,0.8559885636148922
business,14023,4.456820937032019,-0.9882,0.9993,0.647700677458461,0.8439,0.0,1.0,0.037332311203023605,0.0,0.0,1.0,0.7248204378521,0.737,0.0,0.914,0.23784461242244884,0.222,0.86236896527134
history,12055,4.281294068851099,-0.9949,0.9982,0.5510702944836168,0.7615,0.0,0.821,0.052006387391124016,0.0,0.0,1.0,0.7071336374948154,0.721,0.0,0.921,0.24086047283284942,0.219,0.815927001244297
arts,11704,4.48069036226931,-0.9976,1.0,0.5931618848257005,0.8043,0.0,0.865,0.04653033151059467,0.0,0.0,1.0,0.6891854066985645,0.697,0.0,1.0,0.2642833219412167,0.252,0.820915926179084
kids-family,11495,4.694214876033058,-0.9994,1.0,0.6118190517616354,0.8065,0.0,0.762,0.028792431491953024,0.0,0.0,1.0,0.7106251413658112,0.708,0.0,1.0,0.2604050456720313,0.258,0.7965202261852979
christianity,8678,4.710186678958285,-0.9888,0.9993,0.7436761581009449,0.8881,0.0,1.0,0.02931378197741415,0.0,0.0,1.0,0.6949513712837059,0.706,0.0,1.0,0.2757332334639318,0.262,0.9210647614657755
tv-film,8584,4.674394221808015,-0.9986,0.9997,0.6674211556383971,0.87015,0.0,0.688,0.05584820596458528,0.031,0.0,1.0,0.6780397250698974,0.687,0.0,0.961,0.26611486486486485,0.251,0.8661463187325257
science,8200,4.299390243902439,-0.9957,0.9988,0.5764634268292683,0.796,0.0,0.736,0.05036609756097561,0.0,0.0,1.0,0.6927565853658537,0.706,0.0,1.0,0.256880243902439,0.241,0.8223170731707317
fiction,7926,4.422659601312137,-0.9965,0.9987,0.5473391244007065,0.77785,0.0,0.824,0.06458327024981075,0.029,0.0,1.0,0.6806056018168054,0.689,0.0,1.0,0.2548107494322483,0.2395,0.8064597527125915
leisure,6300,4.768253968253968,-0.9741,0.9988,0.69514726984127,0.8588,0.0,0.643,0.03428619047619048,0.0,0.109,1.0,0.6978719047619047,0.707,0.0,0.891,0.26784031746031745,0.258,0.8876190476190476
music,6240,4.892788461538461,-0.9578,0.9991,0.7253011217948718,0.8519,0.0,0.767,0.02184775641025641,0.0,0.0,1.0,0.6531120192307692,0.659,0.0,1.0,0.3250411858974359,0.319,0.9129807692307692
government,4862,4.183052241875771,-0.9973,0.9978,0.4741371246400658,0.6808,0.0,0.695,0.058525298231180585,0.026,0.072,1.0,0.727606334841629,0.741,0.0,0.928,0.2138693953105718,0.192,0.7575071986836692
religion-spirituality,4815,4.817445482866043,-0.9883,0.9993,0.7565503842159917,0.8949,0.0,0.786,0.03410903426791278,0.0,0.069,1.0,0.6931005192107996,0.706,0.0,0.931,0.27278193146417445,0.26,0.9271028037383178
technology,1032,4.624031007751938,-0.9843,0.994,0.6072163759689923,0.7847500000000001,0.0,0.815,0.045882751937984495,0.0,0.152,1.0,0.704172480620155,0.717,0.0,0.848,0.24995348837209302,0.227,0.8498062015503876
judaism,933,4.727759914255091,-0.9512,0.998,0.6792305466237941,0.834,0.0,0.381,0.023439442658092176,0.0,0.094,1.0,0.7073740621650589,0.721,0.0,0.906,0.2691854233654877,0.253,0.8906752411575563
