podcast_title,podcast_id,nr_of_reviews,average_rating,main_category,sentiment_bool,compound_score_mean,compound_score_min,compound_score_max,compound_score_median,unique_authors,reviews_per_author
Fantastic Geeks,d55e7cf6f53368e69bb466d2e7e73faf,1631,4.951563458001226,tv-film,0.897608828939301,0.8045976088289394,-0.9344,0.9997,0.9335,1209,1.3490488006617039
Everything Iconic with Danny Pellegrino,d4f0251921808036574cebb0ec6958a7,1429,4.825752274317705,tv-film,0.841147655703289,0.7254202939118265,-0.9328,0.998,0.8834,1293,1.1051817478731631
Rebel Force Radio: Star Wars Podcast,dda9360560ecf7b41c8646aa5a1c62b0,788,4.210659898477157,tv-film,0.5101522842639594,0.4117488578680203,-0.9807,0.9989,0.69645,735,1.0721088435374149
Teen Mom Trash Talk,e0e252c7d16499f9d745fe70b005341f,767,4.558018252933508,tv-film,0.7992177314211213,0.6691332464146025,-0.9825,0.9972,0.8493,716,1.0712290502793296
Cinephile with Adnan Virk,b0fd01d95de37b63c5f67a78d61d5ae6,735,4.808163265306122,tv-film,0.8340136054421768,0.6985650340136056,-0.8271,0.9987,0.8689,546,1.3461538461538463
The Storm: A Lost Rewatch Podcast,f1532be08580cab6125c489e2376a7cd,733,4.720327421555252,tv-film,0.8130968622100955,0.7391129604365622,-0.9986,0.9986,0.9412,715,1.0251748251748252
Unspooled,e60583b361eedd2da09618cf854b38ea,676,3.8653846153846154,tv-film,0.5946745562130178,0.5057961538461537,-0.979,0.9966,0.79035,624,1.0833333333333333
Dead Meat Podcast,ca3622c926e0b4bf88750b796e19f0ad,632,4.8085443037974684,tv-film,0.6787974683544303,0.5429643987341772,-0.9821,0.9959,0.7646999999999999,610,1.0360655737704918
Movie Trivia Schmoedown,f929152fe3adc9d3a04d0419586f15e6,629,4.8203497615262325,tv-film,0.8362480127186009,0.6788278219395867,-0.8922,0.997,0.8316,577,1.0901213171577122
The Horror Virgin,b59405dae856ae9762212f55ff854399,564,4.718085106382978,tv-film,0.7624113475177305,0.6653654255319148,-0.9834,0.9955,0.88425,553,1.0198915009041591
Darknet Diaries,be3ef6444047190e8af5541d75d78a24,679,4.855670103092783,technology,0.8276877761413843,0.6516837997054492,-0.9555,0.9929,0.7902,644,1.0543478260869565
107 Degrees - Maura Murray,f7672da3ce64d2978f30a0f28cdf195b,66,2.9545454545454546,technology,0.25757575757575757,0.21043030303030308,-0.9843,0.994,0.36985,61,1.0819672131147542
Talking Bay 94: A Star Wars Podcast,ae92bcf6a4d7bd89fa1e68584690f036,66,5.0,technology,0.696969696969697,0.5679939393939395,-0.8614,0.991,0.7935,65,1.0153846153846153
Overtired,b9859265fc8ee814d9d146e09696e7dc,49,4.816326530612245,technology,0.9183673469387755,0.6901530612244897,-0.532,0.9735,0.7964,49,1.0
